"COUNTRY","Country","SEX","Gender","REF_SECTOR","Reference sector","INTENSITY","Intensity","EDUCATION_LEV","Education level","UNIT_MEASURE","Unit","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2013","2013",211656,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2014","2014",223169,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2015","2015",224455,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2016","2016",228657,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2017","2017",233207,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2018","2018",237310,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2019","2019",241478,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2013","2013",44,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2014","2014",78,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2015","2015",3325,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2016","2016",3270,,
