,COUNTRY,Country,Gender,Field,International mobility,Education level,Year,Value
70,AUS,Australia,Female,Information and Communication Technologies (ICTs),Total,Short-cycle tertiary education,2019,3432.0
71,AUS,Australia,Female,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Short-cycle tertiary education,2019,2240.0
72,AUS,Australia,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Short-cycle tertiary education,2019,9393.0
74,AUS,Australia,Female,Information and Communication Technologies (ICTs),Total,Bachelor’s or equivalent level,2019,9644.331
75,AUS,Australia,Male,Information and Communication Technologies (ICTs),Total,Bachelor’s or equivalent level,2019,41324.674
76,AUS,Australia,Female,Information and Communication Technologies (ICTs),Total,Master’s or equivalent level,2019,13800.536
77,AUS,Australia,Male,Information and Communication Technologies (ICTs),Total,Master’s or equivalent level,2019,29481.432
78,AUS,Australia,Female,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Master’s or equivalent level,2019,12699.048
79,AUS,Australia,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Master’s or equivalent level,2019,26089.753
82,AUS,Australia,Male,Information and Communication Technologies (ICTs),Total,Doctoral or equivalent level,2019,1684.0
83,AUS,Australia,Female,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Doctoral or equivalent level,2019,429.0
84,AUS,Australia,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Doctoral or equivalent level,2019,932.0
86,AUS,Australia,Female,"Engineering, manufacturing and construction",Total,Short-cycle tertiary education,2019,6643.0
87,AUS,Australia,Male,"Engineering, manufacturing and construction",Total,Short-cycle tertiary education,2019,28662.0
88,AUS,Australia,Female,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Short-cycle tertiary education,2019,1296.0
90,AUS,Australia,Male,"Engineering, manufacturing and construction",Total,Bachelor’s or equivalent level,2019,66145.196
92,AUS,Australia,Male,"Engineering, manufacturing and construction",Total,Master’s or equivalent level,2019,24204.585
93,AUS,Australia,Female,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Master’s or equivalent level,2019,6979.249
94,AUS,Australia,Male,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Master’s or equivalent level,2019,18061.374
97,AUS,Australia,Female,"Agriculture, forestry, fisheries and veterinary",Total,Short-cycle tertiary education,2019,2165.0
98,AUS,Australia,Male,"Agriculture, forestry, fisheries and veterinary",Total,Short-cycle tertiary education,2019,1965.0
101,AUS,Australia,Female,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,696.14
